tic_id,score_mean,pred
100229772,0.73128253,1
100265076,0.63688153,1
114048386,0.6402181,1
114391324,0.6162923,1
128917881,0.69222003,1
141024724,0.6534017,1
1479793,0.70458984,1
149125418,0.6225586,1
149126810,0.56545,1
149176684,0.6565755,1
150438041,0.66097003,1
166315714,0.6577962,1
166550568,0.5654907,1
167527244,0.7080892,1
167691903,0.63761395,1
167754523,0.6352132,1
177282821,0.6930339,1
181576949,0.6957194,1
183306127,0.64534503,1
1851563,0.7195638,1
2018191215100,0.65600586,1
211254719,0.6945801,1
220370211,0.62019855,1
220408525,0.62841797,1
220431435,0.64664716,1
220476607,0.5974121,1
230953115,0.6713867,1
230954760,0.7300618,1
231725008,0.6501465,1
238192896,0.63549805,1
238817606,0.61157227,1
25116423,0.63411456,1
257719469,0.6680501,1
260244471,0.6371257,1
260267665,0.69710284,1
260268711,0.7430827,1
261337380,0.6709798,1
265336423,0.6239421,1
266903576,0.59749347,1
267044642,0.6305339,1
270554477,0.61002606,1
272285817,0.596639,1
277911545,0.7179362,1
278658315,0.6389974,1
279950870,0.6534831,1
290359513,0.630778,1
290542693,0.6583659,1
293223210,0.6079915,1
293268518,0.6848958,1
293525326,0.66748047,1
299744422,0.58980304,1
300160320,0.6385498,1
300611942,0.62190753,1
300840726,0.76676434,1
30631031,0.6726074,1
306636311,0.65112305,1
306822783,0.60595703,1
31181554,0.66625977,1
316341281,0.6795247,1
319740048,0.7305501,1
322306553,0.63688153,1
323246164,0.6078288,1
327595236,0.67179364,1
327785134,0.664388,1
349306448,0.66259766,1
349833322,0.60994464,1
352023040,0.68570966,1
354135591,0.7124837,1
355136328,0.6704915,1
355210936,0.6536458,1
365954483,0.6414388,1
369817303,0.6312663,1
370244421,0.6813151,1
372320141,0.6796875,1
375034775,0.6281738,1
375232613,0.6691081,1
379236118,0.6476237,1
382252187,0.60213214,1
382304528,0.6432292,1
382578987,0.69938153,1
38634572,0.6678874,1
388202207,0.7241211,1
391001489,0.7071126,1
391925508,0.67704266,1
394631720,0.62320966,1
404162701,0.6265462,1
405867785,0.62752277,1
407621805,0.7569987,1
410355112,0.6364746,1
431481560,0.6878255,1
466160811,0.6489258,1
466686710,0.6446126,1
50316633,0.6302083,1
55270064,0.6389974,1
55849446,0.6656087,1
61269826,0.6640625,1
79754655,0.6825358,1
79955151,0.69506836,1
80089548,0.6258138,1
90904124,0.6241862,1
97176846,0.617513,1
